"Region_Country_Area_Code","Region_Country_Area_Name","Year","pop_annl_increase","tot_fertil_rate","infant_mortal","maternal_mortal","life_expect_both_sexes","life_expect_males","life_expec_females"
72,"Botswana",2005,1.4,3.2,65.4,276.0,49.2,47.3,51.0
72,"Botswana",2010,1.6,2.9,46.5,169.0,56.5,54.4,58.5
72,"Botswana",2015,1.8,2.9,35.2,129.0,62.9,59.8,66.1
76,"Brazil",2005,1.3,2.1,28.2,67.0,71.1,67.3,75.0
76,"Brazil",2010,1.0,1.9,20.4,65.0,72.9,69.2,76.7
76,"Brazil",2015,0.9,1.8,15.8,44.0,74.7,71.0,78.4
84,"Belize",2005,2.7,3.4,19.7,52.0,68.5,65.7,71.6
84,"Belize",2010,2.5,2.8,17.0,37.0,69.6,67.0,72.4
84,"Belize",2015,2.2,2.6,14.3,28.0,69.8,67.2,72.7
90,"Solomon Islands",2005,2.6,4.6,49.9,164.0,64.7,63.5,66.0
90,"Solomon Islands",2010,2.3,4.4,38.7,136.0,67.4,66.1,68.8
90,"Solomon Islands",2015,2.1,4.1,30.0,114.0,69.6,68.3,71.1
92,"British Virgin Islands",2004,0.0,2.0,0.0,0.0,0.0,69.9,78.5
92,"British Virgin Islands",2005,2.3,0.0,0.0,0.0,0.0,0.0,0.0
92,"British Virgin Islands",2010,3.2,0.0,0.0,0.0,0.0,0.0,0.0
92,"British Virgin Islands",2015,2.0,0.0,0.0,0.0,0.0,0.0,0.0
96,"Brunei Darussalam",2005,1.8,2.0,8.2,30.0,75.7,74.2,77.5
96,"Brunei Darussalam",2010,1.2,1.8,6.5,27.0,76.7,75.1,78.4
96,"Brunei Darussalam",2015,1.4,1.9,6.5,23.0,76.7,75.1,78.4
100,"Bulgaria",2005,-0.8,1.2,12.7,15.0,72.2,68.8,75.8
100,"Bulgaria",2010,-0.7,1.5,9.5,11.0,73.1,69.7,76.7
100,"Bulgaria",2015,-0.6,1.5,8.3,11.0,74.3,70.8,77.8
104,"Myanmar",2005,1.0,2.9,57.9,248.0,62.9,60.9,65.0
104,"Myanmar",2010,0.7,2.6,52.2,205.0,64.3,62.2,66.3
104,"Myanmar",2015,0.9,2.3,45.0,178.0,66.0,63.7,68.3
108,"Burundi",2005,3.0,6.9,94.6,863.0,52.0,50.3,53.7
108,"Burundi",2010,3.3,6.5,86.2,808.0,53.7,52.0,55.4
108,"Burundi",2015,3.0,6.0,77.9,712.0,56.1,54.2,58.0
112,"Belarus",2005,-0.6,1.3,9.6,13.0,67.8,62.3,73.7
112,"Belarus",2010,-0.3,1.4,6.3,5.0,69.3,63.6,75.2
112,"Belarus",2015,0.0,1.6,3.6,4.0,72.1,66.5,77.7
116,"Cambodia",2005,1.8,3.4,65.9,315.0,60.8,58.5,63.0
116,"Cambodia",2010,1.5,3.1,45.0,202.0,65.1,62.7,67.4
116,"Cambodia",2015,1.6,2.7,29.9,161.0,67.6,65.5,69.6
120,"Cameroon",2005,2.6,5.5,88.5,729.0,51.5,50.6,52.3
120,"Cameroon",2010,2.7,5.3,77.2,676.0,54.4,53.4,55.4
120,"Cameroon",2015,2.7,5.0,67.5,596.0,56.4,55.1,57.7
124,"Canada",2005,1.0,1.5,5.3,9.0,79.7,77.2,82.1
124,"Canada",2010,1.1,1.6,5.1,8.0,80.8,78.4,83.0
124,"Canada",2015,1.0,1.6,4.7,7.0,81.8,79.7,83.8
132,"Cabo Verde",2005,1.7,3.4,25.0,54.0,71.3,69.5,72.8
132,"Cabo Verde",2010,1.1,2.9,23.5,51.0,71.8,69.9,73.4
132,"Cabo Verde",2015,1.2,2.5,22.5,42.0,72.2,70.1,74.0
136,"Cayman Islands",2005,3.1,0.0,0.0,0.0,0.0,0.0,0.0
136,"Cayman Islands",2006,0.0,0.0,0.0,0.0,0.0,76.3,83.8
136,"Cayman Islands",2007,0.0,1.6,0.0,0.0,0.0,0.0,0.0
136,"Cayman Islands",2010,2.6,0.0,0.0,0.0,0.0,0.0,0.0
136,"Cayman Islands",2015,1.5,0.0,0.0,0.0,0.0,0.0,0.0
140,"Central African Republic",2005,1.9,5.5,113.4,0.0,43.7,42.5,44.9
140,"Central African Republic",2010,1.5,5.3,105.9,909.0,46.0,44.6,47.4
140,"Central African Republic",2015,0.4,5.1,93.5,882.0,49.4,47.8,51.0
142,"Asia",2005,1.2,2.4,45.6,0.0,68.6,67.0,70.3
142,"Asia",2010,1.1,2.3,37.2,0.0,70.3,68.6,72.2
142,"Asia",2015,1.0,2.2,30.5,0.0,71.8,69.9,73.8
143,"Central Asia",2005,1.1,2.5,48.0,0.0,65.8,61.7,70.1
143,"Central Asia",2010,1.5,2.7,38.0,0.0,67.5,63.5,71.6
143,"Central Asia",2015,1.7,2.7,28.5,0.0,69.8,66.3,73.3
144,"Sri Lanka",2005,0.8,2.3,13.1,43.0,73.2,69.6,77.1
144,"Sri Lanka",2010,0.7,2.3,10.1,35.0,74.1,70.6,77.7
144,"Sri Lanka",2015,0.5,2.1,8.2,30.0,74.6,71.2,78.0
145,"Western Asia",2005,2.1,3.2,30.9,110.0,70.9,68.4,73.5
145,"Western Asia",2010,2.5,3.0,25.0,96.0,72.0,69.5,74.8
145,"Western Asia",2015,2.1,2.9,22.8,91.0,72.8,70.1,75.7
148,"Chad",2005,3.8,7.2,110.8,0.0,47.7,46.8,48.5
148,"Chad",2010,3.3,6.9,105.2,0.0,48.9,48.1,49.7
148,"Chad",2015,3.3,6.3,91.2,856.0,51.7,50.5,52.8
150,"Europe",2005,0.1,1.4,8.4,0.0,73.8,69.6,78.1
150,"Europe",2010,0.2,1.5,6.5,0.0,75.3,71.3,79.3
150,"Europe",2015,0.1,1.6,5.3,0.0,77.2,73.7,80.7
151,"Eastern Europe",2005,-0.4,1.3,13.8,0.0,67.9,62.4,73.8
151,"Eastern Europe",2010,-0.2,1.4,9.8,0.0,69.5,64.1,75.1
151,"Eastern Europe",2015,-0.1,1.6,7.6,0.0,72.2,67.3,77.1
152,"Chile",2005,1.1,2.0,8.4,27.0,77.4,74.3,80.3
152,"Chile",2010,1.0,1.9,7.8,26.0,78.1,75.3,80.8
152,"Chile",2015,0.9,1.8,7.4,22.0,78.8,76.2,81.3
154,"Northern Europe",2005,0.4,1.7,5.0,0.0,77.9,75.2,80.5
154,"Northern Europe",2010,0.8,1.9,4.4,0.0,79.2,76.6,81.6
154,"Northern Europe",2015,0.5,1.8,3.7,0.0,80.5,78.3,82.7
155,"Western Europe",2005,0.3,1.6,4.3,0.0,78.9,75.8,82.0
155,"Western Europe",2010,0.3,1.6,3.7,0.0,80.2,77.3,83.0
155,"Western Europe",2015,0.4,1.7,3.4,0.0,81.1,78.4,83.7
156,"China",2005,0.6,1.6,25.3,48.0,73.1,71.7,74.7
156,"China",2010,0.6,1.6,16.7,35.0,74.7,73.2,76.3
156,"China",2015,0.5,1.6,11.6,27.0,75.7,74.2,77.2
158,"Other non-specified areas",2005,0.7,1.3,6.1,0.0,76.9,74.2,80.0
158,"Other non-specified areas",2010,0.4,1.1,5.2,0.0,78.2,75.2,81.5
158,"Other non-specified areas",2015,0.3,1.1,4.2,0.0,79.2,76.4,82.3
170,"Colombia",2005,1.4,2.3,20.5,80.0,71.7,68.0,75.4
170,"Colombia",2010,1.2,2.1,19.0,72.0,72.9,69.2,76.6
170,"Colombia",2015,1.0,1.9,17.9,64.0,73.7,70.2,77.4
174,"Comoros",2005,2.4,5.2,72.6,436.0,59.6,58.0,61.2
174,"Comoros",2010,2.4,4.9,66.7,388.0,60.9,59.3,62.5
174,"Comoros",2015,2.4,4.6,58.1,335.0,62.8,61.2,64.5
175,"Mayotte",2005,3.4,4.8,7.6,0.0,76.5,73.0,80.6
175,"Mayotte",2010,3.2,4.6,5.6,0.0,78.0,74.5,81.9
175,"Mayotte",2015,2.8,4.1,4.2,0.0,79.3,76.0,82.9
178,"Congo",2005,2.8,5.1,81.1,596.0,52.1,51.1,53.1
178,"Congo",2010,3.3,5.0,61.0,509.0,58.0,56.7,59.2
178,"Congo",2015,2.6,4.9,46.5,442.0,62.5,61.0,64.1
180,"Dem. Rep. of the Congo",2005,3.0,6.7,99.5,787.0,51.8,50.4,53.3
180,"Dem. Rep. of the Congo",2010,3.3,6.6,83.9,794.0,55.5,54.0,56.9
180,"Dem. Rep. of the Congo",2015,3.3,6.4,73.2,693.0,58.1,56.7,59.5
184,"Cook Islands",2001,0.0,0.0,0.0,0.0,0.0,68.0,74.0
184,"Cook Islands",2005,1.7,0.0,0.0,0.0,0.0,0.0,0.0
184,"Cook Islands",2006,0.0,0.0,0.0,0.0,0.0,69.5,76.2
184,"Cook Islands",2010,-1.2,0.0,0.0,0.0,0.0,0.0,0.0
184,"Cook Islands",2011,0.0,2.6,0.0,0.0,0.0,0.0,0.0
184,"Cook Islands",2013,0.0,0.0,3.6,0.0,75.3,71.7,79.6
184,"Cook Islands",2015,-1.2,0.0,0.0,0.0,0.0,0.0,0.0
188,"Costa Rica",2005,1.6,2.2,10.9,31.0,77.8,75.5,80.2
188,"Costa Rica",2010,1.4,2.0,10.0,29.0,78.4,76.1,80.8
188,"Costa Rica",2015,1.1,1.9,9.3,25.0,79.2,76.7,81.7
191,"Croatia",2005,-0.2,1.4,6.5,11.0,74.9,71.4,78.4
191,"Croatia",2010,-0.2,1.5,5.7,10.0,76.1,72.6,79.5
191,"Croatia",2015,-0.4,1.5,3.9,8.0,77.0,73.6,80.4
192,"Cuba",2005,0.2,1.6,6.1,41.0,77.2,75.3,79.1
192,"Cuba",2010,0.1,1.6,5.7,44.0,78.7,76.7,80.7
192,"Cuba",2015,0.2,1.7,5.5,39.0,79.2,77.1,81.3
196,"Cyprus",2005,1.7,1.6,5.6,12.0,78.3,76.3,80.5
196,"Cyprus",2010,1.6,1.5,4.4,8.0,79.0,76.9,81.1
196,"Cyprus",2015,0.9,1.4,4.2,7.0,79.9,77.7,82.2
202,"Sub-Saharan Africa",2005,2.7,5.6,87.3,717.0,50.7,49.3,52.1
202,"Sub-Saharan Africa",2010,2.7,5.4,73.7,624.0,54.3,52.9,55.7
202,"Sub-Saharan Africa",2015,2.7,5.1,62.1,546.0,57.9,56.2,59.5
203,"Czechia",2005,-0.1,1.2,3.9,6.0,75.5,72.2,78.8
203,"Czechia",2010,0.5,1.4,3.1,5.0,77.0,73.8,80.1
203,"Czechia",2015,0.1,1.5,2.5,4.0,78.2,75.1,81.2
204,"Benin",2005,3.0,5.8,84.1,502.0,56.2,54.6,57.7
204,"Benin",2010,2.8,5.5,74.5,446.0,58.6,57.1,60.0
204,"Benin",2015,2.8,5.2,67.7,405.0,59.9,58.5,61.4
208,"Denmark",2005,0.3,1.8,4.5,8.0,77.3,75.0,79.6
208,"Denmark",2010,0.5,1.9,3.7,7.0,78.6,76.4,80.8
208,"Denmark",2015,0.5,1.7,3.5,6.0,80.1,78.1,82.2
212,"Dominica",2001,0.0,3.0,0.0,0.0,0.0,0.0,0.0
212,"Dominica",2005,0.3,0.0,0.0,0.0,0.0,0.0,0.0
212,"Dominica",2008,0.0,0.0,0.0,0.0,0.0,73.8,78.2
212,"Dominica",2010,0.2,0.0,0.0,0.0,0.0,0.0,0.0
212,"Dominica",2015,0.5,0.0,0.0,0.0,0.0,0.0,0.0
214,"Dominican Republic",2005,1.5,2.8,34.9,64.0,71.1,68.1,74.4
214,"Dominican Republic",2010,1.4,2.7,29.6,75.0,72.2,69.2,75.5
214,"Dominican Republic",2015,1.2,2.5,25.1,92.0,73.2,70.2,76.5
218,"Ecuador",2005,1.7,2.9,27.1,74.0,73.6,70.7,76.8
218,"Ecuador",2010,1.7,2.7,23.4,75.0,74.6,71.7,77.5
218,"Ecuador",2015,1.6,2.6,21.1,64.0,75.5,72.8,78.4
222,"El Salvador",2005,0.5,2.7,23.6,68.0,69.6,65.0,74.1
222,"El Salvador",2010,0.4,2.4,20.7,59.0,71.1,66.4,75.6
222,"El Salvador",2015,0.5,2.2,17.0,54.0,72.6,67.9,77.1
226,"Equatorial Guinea",2005,4.2,5.7,89.7,483.0,53.6,52.3,54.9
226,"Equatorial Guinea",2010,4.6,5.4,80.4,379.0,54.9,53.8,56.2
226,"Equatorial Guinea",2015,4.2,5.0,70.0,342.0,56.8,55.5,58.4
231,"Ethiopia",2005,2.9,6.1,78.0,743.0,53.6,52.3,55.0
231,"Ethiopia",2010,2.7,5.3,59.9,523.0,59.1,57.6,60.6
231,"Ethiopia",2015,2.6,4.6,45.8,353.0,63.7,61.9,65.5
232,"Eritrea",2005,3.1,5.1,59.4,619.0,56.7,54.7,58.8
232,"Eritrea",2010,2.0,4.8,51.7,579.0,60.7,58.7,62.7
232,"Eritrea",2015,2.0,4.4,45.0,501.0,63.4,61.4,65.6
233,"Estonia",2005,-0.6,1.4,7.3,15.0,71.6,66.0,77.1
233,"Estonia",2010,-0.4,1.7,4.7,8.0,73.8,68.3,79.0
233,"Estonia",2015,-0.3,1.6,3.2,9.0,76.8,71.9,81.2
234,"Faroe Islands",2005,0.4,2.6,0.0,0.0,0.0,0.0,0.0
234,"Faroe Islands",2008,0.0,2.6,0.0,0.0,0.0,76.8,82.3
234,"Faroe Islands",2010,0.1,2.5,0.0,0.0,0.0,0.0,0.0
234,"Faroe Islands",2015,0.2,2.4,0.0,0.0,0.0,0.0,0.0
234,"Faroe Islands",2016,0.0,0.0,0.0,0.0,0.0,78.3,84.5
238,"Falkland Islands (Malvinas)",2005,0.4,0.0,0.0,0.0,0.0,0.0,0.0
238,"Falkland Islands (Malvinas)",2010,-0.6,0.0,0.0,0.0,0.0,0.0,0.0
238,"Falkland Islands (Malvinas)",2015,0.3,0.0,0.0,0.0,0.0,0.0,0.0
242,"Fiji",2005,0.3,3.0,19.0,39.0,68.0,65.5,70.7
242,"Fiji",2010,0.9,2.8,17.9,34.0,68.8,66.1,71.9
242,"Fiji",2015,0.7,2.6,16.0,30.0,69.7,66.9,72.9
246,"Finland",2005,0.3,1.8,3.2,4.0,78.4,74.9,81.7
246,"Finland",2010,0.4,1.8,2.7,3.0,79.5,76.1,82.9
246,"Finland",2015,0.4,1.8,2.3,3.0,80.7,77.7,83.7
250,"France",2005,0.5,1.9,4.3,10.0,79.4,75.8,83.1
250,"France",2010,0.6,2.0,3.7,9.0,80.8,77.4,84.3
250,"France",2015,0.4,2.0,3.4,8.0,81.9,78.8,85.0
254,"French Guiana",2005,4.5,3.7,13.6,0.0,76.1,72.8,80.1
254,"French Guiana",2010,2.8,3.6,10.6,0.0,78.0,75.0,81.4
254,"French Guiana",2015,2.8,3.5,9.3,0.0,79.2,76.1,82.6
258,"French Polynesia",2005,1.4,2.4,9.4,0.0,73.2,70.7,76.1
258,"French Polynesia",2010,1.0,2.2,8.8,0.0,75.0,72.8,77.5
258,"French Polynesia",2015,0.7,2.1,6.9,0.0,76.1,74.0,78.6
262,"Djibouti",2005,1.8,4.2,68.1,341.0,57.3,55.9,58.8
262,"Djibouti",2010,1.7,3.6,63.4,275.0,59.1,57.6,60.5
262,"Djibouti",2015,1.7,3.1,55.3,229.0,61.6,60.0,63.2
266,"Gabon",2005,2.6,4.4,58.1,370.0,59.1,58.3,59.8
266,"Gabon",2010,3.1,4.2,49.3,322.0,61.3,60.8,61.8
266,"Gabon",2015,3.3,4.0,40.8,291.0,64.5,63.1,65.8
268,"Georgia",2005,-1.0,1.6,29.0,37.0,72.6,68.9,76.1
268,"Georgia",2010,-1.2,1.8,20.2,40.0,72.7,68.6,76.5
268,"Georgia",2015,-1.4,2.0,11.2,36.0,72.8,68.5,77.0
270,"Gambia",2005,3.2,5.9,59.4,807.0,56.9,55.9,58.1
270,"Gambia",2010,3.2,5.8,52.4,753.0,58.8,57.6,60.2
270,"Gambia",2015,3.1,5.6,49.8,706.0,60.3,59.1,61.6
275,"State of Palestine",2005,2.1,5.0,24.9,62.0,71.2,69.5,72.9
275,"State of Palestine",2010,2.6,4.6,22.3,54.0,72.0,70.2,73.9
275,"State of Palestine",2015,2.7,4.3,20.0,45.0,72.9,71.1,74.8
276,"Germany",2005,0.0,1.4,4.2,7.0,78.6,75.6,81.5
276,"Germany",2010,-0.2,1.4,3.7,7.0,79.7,77.0,82.4
276,"Germany",2015,0.2,1.4,3.4,6.0,80.4,77.9,82.9
288,"Ghana",2005,2.6,4.6,60.9,376.0,57.5,56.7,58.3
288,"Ghana",2010,2.6,4.4,55.4,325.0,60.0,59.2,60.9
288,"Ghana",2015,2.4,4.2,46.5,319.0,61.7,60.7,62.6
292,"Gibraltar",2001,0.0,0.0,0.0,0.0,0.0,78.5,83.3
292,"Gibraltar",2005,0.6,0.0,0.0,0.0,0.0,0.0,0.0
292,"Gibraltar",2010,0.7,0.0,0.0,0.0,0.0,0.0,0.0
292,"Gibraltar",2015,0.6,0.0,0.0,0.0,0.0,0.0,0.0
296,"Kiribati",2005,1.8,4.0,51.6,135.0,64.5,61.6,67.5
296,"Kiribati",2010,2.1,3.9,49.3,109.0,65.1,62.0,68.1
